,name,prompt,style,class,quality_mos,authenticity_mos,correspondence_mos,quality_std,authenticity_std,correspondence_std
0,0.png,a corgi,Basic,Animals,60.16417843,47.24654087,59.98587335,0.885226373,1.260743306,1.35627198
1,1.png,a corgi,Basic,Animals,54.74887829,42.48224279,57.233826,1.208522369,0.857492926,1.394538218
2,2.png,a corgi,Basic,Animals,49.32192849,41.51368886,53.54241489,1.361114095,1.014514547,1.35627198
3,3.png,a corgi,Basic,Animals,57.01376959,51.58016082,60.22307398,1.273205652,1.394538218,1.308876577
4,4.png,a girl,Basic,People,49.51482748,51.00211404,59.93955983,1.281446551,1.136708082,1.116070802
5,5.png,a girl,Basic,People,55.09090905,59.81721041,61.83622178,1.371706582,1.017392608,1.002919714
6,6.png,a girl,Basic,People,46.30587114,52.24204342,56.23509735,0.96123702,1.297771369,1.424411236
7,7.png,a girl,Basic,People,49.5552563,44.4525637,52.39103651,0.833508753,0.830697586,1.213953957
8,8.png,a boat,Basic,Vehicles,62.75529697,60.70437115,61.88871644,0.857492926,1.065130473,1.147078669
9,9.png,a boat,Basic,Vehicles,56.85336072,58.43008679,61.6148124,1.394538218,1.218761715,1.446411167
10,10.png,a boat,Basic,Vehicles,62.03926547,54.3273169,55.06575022,0.991189256,1.252366182,1.151657844
11,11.png,a boat,Basic,Vehicles,55.21780767,54.06576681,54.53767101,1.542383664,1.483239697,1.496487115
12,12.png,a bench,Basic,Artifacts,57.80978847,55.68434789,60.15189014,1.234376041,1.308876577,0.96123702
13,13.png,a bench,Basic,Artifacts,63.51300153,64.53699364,64.69492825,1.129094239,0.998364676,0.998364676
14,14.png,a bench,Basic,Artifacts,63.00931048,58.73549765,56.76308174,1.056309365,0.837707817,0.864504726
15,15.png,a bench,Basic,Artifacts,57.50171294,59.24855211,65.17480154,1.357241785,1.468081455,1.123902974
16,16.png,a flower,Basic,Produce & Plants,50.81876281,51.96635384,63.88498754,0.582983088,1.050062655,0.951453182
17,17.png,a flower,Basic,Produce & Plants,56.4460527,53.6704495,59.81777736,1.308876577,1.190974833,1.276302225
18,18.png,a flower,Basic,Produce & Plants,42.49754229,45.3904661,42.30593017,1.011628298,1.432700799,0.966545667
19,19.png,a flower,Basic,Produce & Plants,64.11583174,64.8199313,65.82136533,0.9701425,1.071152847,1.105541597
20,20.png,a green pepper,Basic,Food & Beverage,63.36973633,62.45442757,60.41178051,1.100239208,1.371706582,1.225818738
21,21.png,a green pepper,Basic,Food & Beverage,66.20517799,61.19964997,63.14994547,0.936585812,1.070606758,1.165287405
22,22.png,a green pepper,Basic,Food & Beverage,54.59870328,48.59549397,49.54684872,1.321880638,1.490319641,1.409553867
23,23.png,a green pepper,Basic,Food & Beverage,56.701096,56.43290442,60.7323079,1.353358396,1.218281793,1.431782106
24,24.png,a book cover,Basic,Illustrations,60.102412,54.36998563,57.8661293,1.065130473,1.348488433,1.313893371
25,25.png,a book cover,Basic,Illustrations,54.1590487,51.24040139,51.45517911,1.136708082,0.917662935,1.252366182
26,26.png,a book cover,Basic,Illustrations,48.7561589,50.61708965,51.54288097,1.332784975,1.348488433,1.503504678
27,27.png,a book cover,Basic,Illustrations,64.07953888,57.31346742,62.79404045,0.936585812,0.933302004,1.08417646
28,28.png,a kitchen,Basic,Indoor Scenes,58.00796979,58.80173244,59.34126752,1.432700799,1.394538218,1.431782106
29,29.png,a kitchen,Basic,Indoor Scenes,69.13100137,71.62884402,69.79382358,0.850696309,0.830697586,0.751903902
30,30.png,a kitchen,Basic,Indoor Scenes,54.71113982,52.9286723,52.71688232,1.151657844,1.025978352,1.447320573
31,31.png,a kitchen,Basic,Indoor Scenes,62.77214791,56.82263043,63.6808684,1.149624907,1.496487115,1.252366182
32,32.png,a fall landscape,Basic,Outdoor Scenes,55.27826326,49.21535048,53.67980128,1.251315098,1.251315098,1.483239697
33,33.png,a fall landscape,Basic,Outdoor Scenes,44.38091525,38.62279106,54.11743387,1.39548143,0.766964989,1.268027893
34,34.png,a fall landscape,Basic,Outdoor Scenes,56.51837729,55.05797766,54.49787537,1.268027893,1.039989878,1.281446551
35,35.png,a fall landscape,Basic,Outdoor Scenes,53.34416115,54.11592598,62.28290634,1.293709477,1.209610638,0.942809042
36,36.png,a photo of san francisco's golden gate bridge,Basic,World Knowledge,59.94615458,55.14165771,59.84051435,1.308876577,1.332784975,1.348488433
37,37.png,a photo of san francisco's golden gate bridge,Basic,World Knowledge,57.7324607,57.29579701,60.36092778,1.050062655,1.136708082,1.187655807
38,38.png,a photo of san francisco's golden gate bridge,Basic,World Knowledge,50.10057028,46.51047013,48.70571541,1.119210248,0.904827857,1.208522369
39,39.png,a photo of san francisco's golden gate bridge,Basic,World Knowledge,58.13156641,53.67146206,60.42580122,1.357241785,1.496487115,1.268027893
40,40.png,A giraffe walking through a green grass covered field,Simple Detail,Animals,56.61761239,46.13010974,53.97832062,1.017392608,1.020262551,1.281446551
41,41.png,A giraffe walking through a green grass covered field,Simple Detail,Animals,60.82154409,59.93971011,57.17759541,1.308876577,1.234376041,1.268027893
42,42.png,A giraffe walking through a green grass covered field,Simple Detail,Animals,46.49957461,45.28319681,50.33224745,0.955133866,1.020262551,1.538112309
